timestamp,total_time_min,distance_miles,activity_type,avg_hr_bpm,max_hr_bpm,source
2026-01-29 23:52:37,48.45,4.860377546074789,Running,,,Strava
2026-01-27 22:58:36,45.766666666666666,4.265537425279929,Running,,,Strava
2026-01-25 17:05:41,117.03333333333333,13.110654056942598,Running,,,Strava
2026-01-24 18:11:28,55.88333333333333,5.077050219344576,Running,,,Strava
2026-01-22 22:39:12,58.21666666666667,4.750083885319448,Running,,,Strava
2026-01-22 02:23:48,42.86666666666667,2.9727714466800057,Running,,,Strava
2026-01-20 22:11:28,75.43333333333334,8.280164539500666,Running,,,Strava
2026-01-17 18:03:49,41.03333333333333,3.4028856549890016,Running,,,Strava
2026-01-17 17:17:39,41.983333333333334,3.329066573875005,Running,,,Strava
2026-01-16 23:01:59,46.21666666666667,4.581505461866355,Running,,,Strava
2026-01-15 01:30:17,57.083333333333336,5.356792225384319,Running,,,Strava
2026-01-13 02:32:20,44.96666666666667,3.4036934395466467,Running,,,Strava
2026-01-12 22:28:59,46.016666666666666,3.6834354455863894,Running,,,Strava
2026-01-11 21:35:40,80.43333333333334,8.310238979954516,Running,,,Strava
2026-01-10 17:07:50,19.783333333333335,1.929548759118645,Running,,,Strava
2026-01-06 02:42:26,64.35,6.118098102327663,Running,,,Strava
2026-01-05 04:37:51,69.45,7.189655386680254,Running,,,Strava
2026-01-03 17:06:48,25.3,1.8992879068437993,Running,,,Strava
2026-01-01 18:20:31,41.96666666666667,3.0370213876495957,Running,,,Strava
2026-01-01 00:48:51,52.0,4.03376539450955,Running,,,Strava
2025-12-31 02:14:33,66.38333333333334,6.561012589011645,Running,,,Strava
2025-12-27 19:53:00,38.13333333333333,3.679831483713821,Running,,,Strava
2025-12-27 17:05:35,20.85,1.891334335814682,Running,,,Strava
2025-12-24 00:57:20,42.233333333333334,3.6053288925895086,Running,,,Strava
2025-12-24 00:43:05,12.033333333333333,0.9814582375383698,Running,,,Strava
2025-12-23 02:40:55,49.28333333333333,4.85316962232965,Running,,,Strava
2025-12-20 08:10:42,44.733333333333334,4.780034051225969,Running,,,Strava
2025-12-17 04:48:23,42.93333333333333,3.6560329079001335,Running,161.3,177.0,Strava
2025-12-11 23:40:32,57.233333333333334,4.760150123653175,Running,,,Strava
2025-12-11 05:53:38,27.55,2.6999888152907405,Running,,,Strava
2025-12-06 17:06:22,19.75,1.8927013558353114,Running,,,Strava
2025-12-06 01:27:46,28.1,1.688269725477525,Running,,,Strava
2025-11-30 15:30:20,219.15,26.20154846085973,Running,,,Strava
2025-11-30 14:31:56,27.116666666666667,2.0242459641840753,Running,,,Strava
2025-11-29 08:58:25,27.85,2.5381212173934657,Running,,,Strava
2025-11-27 06:21:13,41.95,2.8825481253184537,Running,,,Strava
2025-11-25 02:36:21,100.76666666666667,10.003044726409584,Running,,,Strava
2025-11-22 17:04:38,21.233333333333334,1.9027675941690383,Running,,,Strava
