timestamp,distance_miles,total_time_min,activity_type,pace,source,row_number,distance_bucket,week,month,year
2019-09-24 22:06:48,0.06651173773099534,42.86318333333334,Running,644.4453985955405,Nike,1,0-3,39,9,2019
2019-10-14 22:31:48,3.6274207497140147,37.85276666666667,Running,10.435173992333526,Nike,1,3-6,42,10,2019
2019-11-11 00:38:04,2.9396939314497956,24.399966666666668,Running,8.300172479055707,Nike,1,0-3,46,11,2019
2022-09-03 21:45:45,2.1970234247984997,29.527949999999997,Running,13.439979595442027,Nike,1,0-3,35,9,2022
2022-09-14 23:09:44,1.1441370786663858,16.1343,Running,14.101719366359713,Nike,1,0-3,37,9,2022
2022-10-10 22:19:38,1.9554051558567542,28.463416666666667,Running,14.556275757693559,Nike,1,0-3,41,10,2022
2022-10-14 20:51:30,3.8575545611089113,47.4089,Running,12.28988449780257,Nike,1,3-6,41,10,2022
2022-10-15 16:19:54,2.0206355953673665,16.101216666666666,Running,7.968392076028605,Nike,1,0-3,41,10,2022
2022-10-17 22:21:42,3.2412984972630148,35.653299999999994,Running,10.999696581510774,Nike,1,3-6,42,10,2022
2022-10-22 20:44:50,2.404364138440594,32.856366666666666,Running,13.665303911900976,Nike,1,0-3,42,10,2022
2022-10-26 22:12:38,0.9665866279709756,12.611233333333333,Running,13.047183737484955,Nike,1,0-3,43,10,2022
2022-10-26 22:26:26,1.5217588907992943,13.959633333333333,Running,9.173354213821037,Nike,1,0-3,43,10,2022
2022-10-27 22:15:50,5.408567979206682,51.56679999999999,Running,9.53427972029737,Nike,1,3-6,43,10,2022
2022-10-28 21:14:31,1.85997788803048,19.55206666666667,Running,10.511988767441876,Nike,1,0-3,43,10,2022
2022-11-09 23:51:12,5.338524998038951,48.77528333333333,Running,9.136471844048758,Nike,1,3-6,45,11,2022
2022-11-11 20:37:25,7.1351934191939925,89.04706666666667,Running,12.479979369182345,Nike,1,6-10,45,11,2022
2022-11-14 23:48:03,2.3724810963077974,20.723316666666665,Running,8.734871143511988,Nike,1,0-3,46,11,2022
2022-11-15 00:15:35,2.0239791004089978,17.1928,Running,8.494554116949995,Nike,1,0-3,46,11,2022
2022-11-16 23:31:45,0.04299871377870161,0.6076333333333334,Running,14.131430453026947,Nike,1,0-3,46,11,2022
2022-11-16 23:36:45,3.6144884823933663,27.435166666666664,Running,7.590331744120047,Nike,1,3-6,46,11,2022
2022-11-17 00:13:26,0.7232999583841998,8.92355,Running,12.337274316916277,Nike,1,0-3,46,11,2022
2022-11-17 00:24:43,1.7976214820721874,13.539416666666666,Running,7.531850727028061,Nike,1,0-3,46,11,2022
2022-11-17 00:43:19,0.4973251414033717,10.273916666666667,Running,20.65834966170285,Nike,1,0-3,46,11,2022
2022-11-19 22:06:24,9.008555631456694,75.34335,Running,8.363532744018466,Nike,1,6-10,46,11,2022
2022-11-19 23:53:20,1.0463815528804246,11.848966666666666,Running,11.323753399560083,Nike,1,0-3,46,11,2022
2022-11-21 23:07:38,0.9192078893875925,9.035983333333332,Running,9.830184703215952,Nike,1,0-3,47,11,2022
2022-11-21 23:20:39,1.509019687523142,13.797,Running,9.143021866497955,Nike,1,0-3,47,11,2022
2022-11-21 23:47:18,1.983167186533838,31.239733333333334,Running,15.752445656351274,Nike,1,0-3,47,11,2022
2022-11-24 18:08:36,0.9841033500481655,9.717416666666667,Running,9.874386329638103,Nike,1,0-3,47,11,2022
2022-11-24 18:21:55,1.994944392980937,15.518716666666668,Running,7.77902217288267,Nike,1,0-3,47,11,2022
2022-11-24 18:55:58,0.7180507928945388,7.24515,Running,10.090024371108948,Nike,1,0-3,47,11,2022
2022-11-26 22:59:00,9.064151229398973,72.61030000000001,Running,8.010711445821128,Nike,1,6-10,47,11,2022
2022-11-28 22:10:38,0.3772665766110548,3.65075,Running,9.67684450818383,Nike,1,0-3,48,11,2022
2022-11-28 22:15:09,0.7353532413435635,7.649516666666667,Running,10.402506219582632,Nike,1,0-3,48,11,2022
2022-11-28 22:24:45,0.7691263573290209,6.062733333333333,Running,7.882623284927662,Nike,1,0-3,48,11,2022
2022-12-13 22:20:22,3.03618374038024,25.4992,Running,8.398437703512165,Nike,1,3-6,50,12,2022
2022-12-13 23:04:22,0.18291762742674583,1.8841333333333334,Running,10.300447036401039,Nike,1,0-3,50,12,2022
2023-01-23 23:44:39,1.100156171253462,11.773349999999999,Running,10.701526117502066,Nike,1,0-3,4,1,2023
2023-01-23 23:58:11,3.2055808169299334,40.092866666666666,Running,12.507208196068701,Nike,1,3-6,4,1,2023
2023-02-02 22:41:53,2.5424148203967403,24.813283333333334,Running,9.75973044770926,Nike,1,0-3,5,2,2023
2023-02-03 21:44:19,2.4924072761366216,26.3931,Running,10.589400958943942,Nike,1,0-3,5,2,2023
